timestamp,elapsed_s,linear_x,angular_z
1773717190.434,5.53,0.2000,0.0000
1773717190.465,5.56,0.2000,0.0000
1773717190.492,5.59,0.2000,0.0000
1773717190.548,5.65,0.2000,0.0000
1773717190.592,5.69,0.2000,0.0000
1773717190.632,5.73,0.2000,0.0000
1773717190.698,5.80,0.2000,0.0000
1773717190.722,5.82,0.2000,0.0000
1773717190.747,5.85,0.2000,0.0000
1773717190.794,5.89,0.2000,0.0000
1773717190.835,5.93,0.2000,0.0000
1773717190.868,5.97,0.2000,0.0000
1773717190.909,6.01,0.2000,0.0000
1773717190.928,6.03,0.2000,0.0000
1773717190.967,6.07,0.2000,0.0000
1773717191.010,6.11,0.2000,0.0000
1773717191.034,6.13,0.2000,0.0000
1773717191.069,6.17,0.2000,0.0000
1773717191.116,6.22,0.2000,0.0000
1773717191.147,6.25,0.2000,0.0000
1773717191.196,6.30,0.2000,0.0000
1773717191.251,6.35,0.2000,0.0000
1773717191.279,6.38,0.2000,0.0000
1773717191.297,6.40,0.2000,0.0000
1773717191.338,6.44,0.2000,0.0000
1773717191.371,6.47,0.2000,0.0000
1773717191.418,6.52,0.2000,0.0000
1773717191.450,6.55,0.2000,0.0000
1773717191.474,6.57,0.2000,0.0000
1773717191.518,6.62,0.2000,0.0000
1773717191.540,6.64,0.2000,0.0000
1773717191.578,6.68,0.2000,0.0000
1773717191.618,6.72,0.2000,0.0000
1773717191.653,6.75,0.2000,0.0000
1773717191.689,6.79,0.2000,0.0000
1773717191.716,6.82,0.2000,0.0000
1773717191.752,6.85,0.2000,0.0000
1773717191.783,6.88,0.2000,0.0000
1773717191.817,6.92,0.2000,0.0000
1773717191.852,6.95,0.2000,0.0000
1773717191.893,6.99,0.2000,0.0000
1773717191.917,7.02,0.2000,0.0000
1773717191.968,7.07,0.2000,0.0000
1773717191.991,7.09,0.2000,0.0000
1773717192.020,7.12,0.2000,0.0000
1773717192.063,7.16,0.2000,0.0000
1773717192.087,7.19,0.2000,0.0000
1773717192.157,7.26,0.2000,0.0000
1773717192.165,7.26,0.2000,0.0000
1773717192.186,7.29,0.2000,0.0000
1773717192.224,7.32,0.2000,0.0000
1773717192.261,7.36,0.2000,0.0000
1773717192.297,7.40,0.2000,0.0000
1773717192.326,7.43,0.2000,0.0000
1773717192.361,7.46,0.2000,0.0000
1773717192.405,7.50,0.2000,0.0000
1773717192.460,7.56,0.2000,0.0000
1773717192.494,7.59,0.2000,0.0000
1773717192.525,7.62,0.2000,0.0000
1773717192.557,7.66,0.2000,0.0000
1773717192.590,7.69,0.2000,0.0000
1773717192.620,7.72,0.2000,0.0000
1773717192.650,7.75,0.2000,0.0000
1773717192.676,7.77,0.2000,0.0000
1773717192.720,7.82,0.2000,0.0000
1773717192.751,7.85,0.2000,0.0000
1773717192.780,7.88,0.2000,0.0000
1773717192.817,7.92,0.2000,0.0000
1773717192.850,7.95,0.2000,0.0000
1773717192.887,7.99,0.2000,0.0000
1773717192.916,8.01,0.2000,0.0000
1773717192.952,8.05,0.2000,0.0000
1773717192.997,8.10,0.1400,0.2500
1773717193.031,8.13,0.1400,0.2500
1773717193.066,8.17,0.1400,0.2500
1773717193.110,8.21,0.1400,0.2500
1773717193.160,8.26,0.1400,0.2500
1773717193.183,8.28,0.1400,0.2500
1773717193.214,8.31,0.2000,0.0000
1773717193.254,8.35,0.1400,0.2500
1773717193.310,8.41,0.1400,0.2500
1773717193.337,8.44,0.2000,0.0000
1773717193.376,8.47,0.1400,0.2500
1773717193.411,8.51,0.1400,0.2500
1773717193.443,8.54,0.1400,0.2500
1773717193.492,8.59,0.1400,0.2500
1773717193.525,8.62,0.2000,0.0000
1773717193.558,8.66,0.2000,0.0000
1773717193.588,8.69,0.2000,0.0000
1773717193.617,8.72,0.2000,0.0000
1773717193.667,8.77,0.2000,0.0000
1773717193.692,8.79,0.2000,0.0000
1773717193.718,8.82,0.2000,0.0000
1773717193.753,8.85,0.2000,0.0000
1773717193.796,8.90,0.2000,0.0000
1773717193.832,8.93,0.2000,0.0000
1773717193.873,8.97,0.2000,0.0000
1773717193.917,9.02,0.2000,0.0000
1773717193.982,9.08,0.2000,0.0000
1773717194.006,9.11,0.2000,0.0000
1773717194.058,9.16,0.2000,0.0000
1773717194.100,9.20,0.2000,0.0000
1773717194.134,9.23,0.2000,0.0000
1773717194.190,9.29,0.2000,0.0000
1773717194.216,9.32,0.2000,0.0000
1773717194.250,9.35,0.2000,0.0000
1773717194.293,9.39,0.2000,0.0000
1773717194.344,9.44,0.2000,0.0000
1773717194.378,9.48,0.2000,0.0000
1773717194.424,9.52,0.2000,0.0000
